id,Exited
165034,0.0204
165035,0.5683
165036,0.1435
165037,0.1932
165038,0.4313
165039,0.0579
165040,0.0668
165041,0.1372
165042,0.5875
165043,0.0197
165044,0.1189
165045,0.1155
165046,0.0159
165047,0.2169
165048,0.5824
165049,0.0935
165050,0.0444
165051,0.2347
165052,0.0648
165053,0.1632
165054,0.046
165055,0.1424
165056,0.1905
165057,0.0237
165058,0.5625
165059,0.2152
165060,0.6951
165061,0.1548
165062,0.1845
165063,0.1809
165064,0.0491
165065,0.0932
165066,0.0878
165067,0.232
165068,0.0761
165069,0.0246
165070,0.4893
165071,0.1354
165072,0.1742
165073,0.7837
165074,0.3895
165075,0.3058
165076,0.2603
165077,0.0313
165078,0.3451
165079,0.307
165080,0.0404
165081,0.0233
165082,0.0117
165083,0.4774
165084,0.1741
165085,0.0183
165086,0.045
165087,0.2635
165088,0.1014
165089,0.1784
165090,0.1833
165091,0.0514
165092,0.0632
165093,0.0778
165094,0.0364
165095,0.1978
165096,0.1028
165097,0.2431
165098,0.053
165099,0.0342
165100,0.7006
165101,0.0384
165102,0.0876
165103,0.0649
165104,0.1787
165105,0.5052
165106,0.4583
165107,0.1299
165108,0.0343
165109,0.5739
165110,0.0391
165111,0.2274
165112,0.2406
165113,0.0835
165114,0.0703
165115,0.066
165116,0.4042
165117,0.1101
165118,0.2379
165119,0.2471
165120,0.1742
165121,0.3699
165122,0.2391
165123,0.0729
165124,0.3819
165125,0.0454
165126,0.0463
165127,0.0428
165128,0.0477
165129,0.0417
165130,0.0855
165131,0.0198
165132,0.327
165133,0.1905
165134,0.0343
165135,0.1976
165136,0.0152
165137,0.3602
165138,0.5489
165139,0.6628
165140,0.2168
165141,0.1322
165142,0.0194
165143,0.1632
165144,0.2475
165145,0.426
165146,0.1055
165147,0.1614
165148,0.1315
165149,0.0816
165150,0.0394
165151,0.7456
165152,0.3523
165153,0.0761
165154,0.0885
165155,0.0464
165156,0.0333
165157,0.0775
165158,0.3572
165159,0.1935
165160,0.0718
165161,0.0823
165162,0.7097
165163,0.0641
165164,0.0679
165165,0.2758
165166,0.8849
165167,0.0804
165168,0.0749
165169,0.1192
165170,0.138
165171,0.2118
165172,0.2698
165173,0.289
165174,0.0437
165175,0.2955
165176,0.0935
165177,0.056
165178,0.1848
165179,0.4437
165180,0.0343
165181,0.5752
165182,0.2692
165183,0.0273
165184,0.1579
165185,0.1285
165186,0.0346
165187,0.2757
165188,0.7334
165189,0.0559
165190,0.0294
165191,0.0687
165192,0.2242
165193,0.2065
165194,0.2001
165195,0.2446
165196,0.1629
165197,0.726
165198,0.5759
165199,0.0289
165200,0.2955
165201,0.7224
165202,0.753
165203,0.6952
165204,0.5009
165205,0.1018
165206,0.2638
165207,0.1783
165208,0.0652
165209,0.1892
165210,0.5282
165211,0.5955
165212,0.046
165213,0.0266
165214,0.7797
165215,0.2487
165216,0.1706
165217,0.0211
165218,0.0276
165219,0.5987
165220,0.1565
165221,0.2417
165222,0.4086
165223,0.0475
165224,0.0319
165225,0.7648
165226,0.4063
165227,0.2829
165228,0.3423
165229,0.3346
165230,0.1471
165231,0.0442
165232,0.0148
165233,0.2112
165234,0.1005
165235,0.0469
165236,0.5283
165237,0.0189
165238,0.1341
165239,0.0748
165240,0.0354
165241,0.021
165242,0.3248
165243,0.1165
165244,0.723
165245,0.0223
165246,0.0965
165247,0.076
165248,0.1411
165249,0.1417
165250,0.0488
165251,0.0333
165252,0.3895
165253,0.2724
165254,0.0831
165255,0.0779
165256,0.3578
165257,0.0694
165258,0.0082
165259,0.3225
165260,0.9179
165261,0.7102
165262,0.4676
165263,0.0399
165264,0.0247
165265,0.0457
165266,0.0157
165267,0.1855
165268,0.2823
165269,0.3311
165270,0.2351
165271,0.1185
165272,0.2417
165273,0.0906
165274,0.0613
165275,0.361
165276,0.165
165277,0.2891
165278,0.667
165279,0.1468
165280,0.0678
165281,0.039
165282,0.1176
165283,0.0194
165284,0.3274
165285,0.2705
165286,0.1086
165287,0.0702
165288,0.0797
165289,0.0786
165290,0.0639
165291,0.3522
165292,0.2675
165293,0.6411
165294,0.023
165295,0.0792
165296,0.0583
165297,0.0403
165298,0.0143
165299,0.0959
165300,0.4053
165301,0.0659
165302,0.3078
165303,0.0637
165304,0.0089
165305,0.0192
165306,0.0447
165307,0.2083
165308,0.1061
165309,0.1349
165310,0.1427
165311,0.1506
165312,0.6034
165313,0.1078
165314,0.1057
165315,0.3201
165316,0.1383
165317,0.0162
165318,0.3985
165319,0.1688
165320,0.1133
165321,0.1631
165322,0.0398
165323,0.1662
165324,0.3305
165325,0.3758
165326,0.3638
165327,0.2377
165328,0.205
165329,0.0835
165330,0.1418
165331,0.1002
165332,0.6304
165333,0.0435
165334,0.021
165335,0.0922
165336,0.299
165337,0.0903
165338,0.3316
165339,0.3682
165340,0.1265
165341,0.0701
165342,0.0977
165343,0.0159
165344,0.075
165345,0.0904
165346,0.9156
165347,0.2621
165348,0.2139
165349,0.0368
165350,0.0187
165351,0.1938
165352,0.1336
165353,0.0268
165354,0.1682
165355,0.077
165356,0.0706
165357,0.0828
165358,0.1629
165359,0.1018
165360,0.0768
165361,0.177
165362,0.6215
165363,0.2859
165364,0.0706
165365,0.1097
165366,0.0173
165367,0.2342
165368,0.0676
165369,0.6966
165370,0.2801
165371,0.0122
165372,0.0888
165373,0.0689
165374,0.5081
165375,0.0568
165376,0.0846
165377,0.0175
165378,0.2797
165379,0.1154
165380,0.2671
165381,0.1245
165382,0.0189
165383,0.0211
165384,0.1555
165385,0.2096
165386,0.8217
165387,0.0302
165388,0.1653
165389,0.2702
165390,0.2431
165391,0.0286
165392,0.0323
165393,0.0883
165394,0.2297
165395,0.0114
165396,0.1417
165397,0.0865
165398,0.3388
165399,0.1891
165400,0.0915
165401,0.1952
165402,0.2919
165403,0.0857
165404,0.0862
165405,0.1674
165406,0.139
165407,0.0718
165408,0.3786
165409,0.023
165410,0.0444
165411,0.053
165412,0.0812
165413,0.0175
165414,0.1169
165415,0.1026
165416,0.7701
165417,0.0273
165418,0.0553
165419,0.7101
165420,0.0512
